Virksomhed/Brand,Hvorfor,Tag,Alternativer,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori
Aptamil,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,"Semper, Organix",Babymad,,,,,,,,,,,,,,,
Danone,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,Arla,Dagligvarer,,,,,,,,,,,,,,,
Danette,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,Arla Protein,Søde sager,,,,,,,,,,,,,,,
YoPRO,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,Arla Protein,Søde sager,,,,,,,,,,,,,,,
Aqua d'Or,,Danone,,Vand & vitamindrik,Læskedrikke,,,,,,Hænder & negle,,,,,,,,
Evian,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,"Egekilde, Ramlösa ",Vand & vitaminvand,,,,,,,,,,,,,,,
Hayat,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,"Egekilde, Ramlösa ",Vand & vitaminvand,,,,,,,,,,,,,,,
Actimel,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,"Arla Cultura, Optimel",Yoghurt & mælk,,,,,,,,,,,,,,,
Activia,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,"Arla Cultura, Optimel",Yoghurt & mælk,,,,,,,,,,,,,,,
Alpro,"Ejes af Danone som investerer i israelske start-ups inden for fødevarer samt har givet en investering på cirka 12,5 millioner NIS til det israelske selskab Wilk.",Danone,Jörd,Yoghurt & mælk,,,,,,,,,,,,,,,
Converse,"Har indgået et partnerskab med Delta Galil Industries, Ltd., som er en global israelsk tekstilvirksomhed med hovedkontor i Tel Aviv.",Delta Galil-partnerskab,Palladium,Mænd: Sko,Kvinder: Sko,Baby- & børnetøj,For hele familien: Sko,,,,,,,,,,,,
Calvin Klein,"Calvin Klein Underwear har indgået et partnerskab med Delta Galil Industries, Ltd., som er en global israelsk tekstilvirksomhed med hovedkontor i Tel Aviv.",Delta Galil-partnerskab,Boody,Påklædning: Solbriller,Parfumer: Mænd,Påklædning: Smykker,Påklædning: Tasker,Påklædning: Ure,Parfumer: Kvinder,,,,,,,,,,
Adidas,"Adidas Underwear har indgået et partnerskab med Delta Galil Industries, Ltd., som er en global israelsk tekstilvirksomhed med hovedkontor i Tel Aviv.",Delta Galil-partnerskab,"Endurance, Hummel",Påklædning: Sport,,,,,,,,,,,,,,,
Ted Baker,"Har indgået et partnerskab med Delta Galil Industries, Ltd., som er en global israelsk tekstilvirksomhed med hovedkontor i Tel Aviv.",Delta Galil-partnerskab,,"Tøj, Sko & Accessories",,,,,,,,,,,,,,,
Bestseller,Bestseller,"Ejes af Anders Holch Povlsen, som investerer millioner i den israelske modeplatform Terminal x.",,Påklædning,,,,,,,,,,,,,,,
