Virksomhed/Brand,Hvorfor,Tag,Alternativer,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori,Kategori
Nesquik,"Ejes af Nestlé som støtter Israel gennem sin investering i Osem, en betydelig israelsk fødevareproducent. .",Nestlé,"Mathilde, Salling Princip, Cocio",Varme drikke,,,,,,,,,,,,,,,
Cheetos,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"KiMs, Taffel, Løgismose",Chips & Snacks,,,,,,,,,,,,,,,
Doritos,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"KiMs, Taffel, Løgismose",Chips & Snacks,,,,,,,,,,,,,,,
Lay's,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"KiMs, Taffel, Løgismose",Chips & Snacks,,,,,,,,,,,,,,,
Walker's,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"KiMs, Taffel, Løgismose",Chips & Snacks,Søde sager,,,,,,,,,,,,,,
Quaker Oats,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,,Dagligvarer,,,,,,,,,,,,,,,
Tropicana,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,Valsølille,Juice & smoothies ,,,,,,,,,,,,,,,
SodaStream,"SodaStream er en israelsk virksomhed, der fremstillede sine produkter på besat palæstinensisk jord. SodaStream er nu ejet af PepsiCo. efter en overtagelse på 3,2 mia. dollars. Virksomheden har siden flyttet sin fabrik fra Vestbredden til det centrale Israel, men den er stadig genstand for boykot på grund af afskedigelsen af 60 palæstinensiske arbejdere og sin kontroversielle fortid.",PepsiCo.,Stelton,Køkkenudstyr,Drikke,,,,,,,,,,,,,,
7up,"Den internationale distributør af 7up, PepsiCo, købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"Harboe, Faxe Kondi, Blue Keld",Læskedrikke,,,,,,,Påklædning: Ure,Kvinder: Tøj,Kvinder: Sko,Mænd: Accessories,Kvinder: Accessories,Baby- & børnetøj,,,
Mirinda,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"Uludag, Harboe, Salling Øko, Ego",Læskedrikke,,,,,,,Ansigtspleje,Kropspleje,Mænd: Tøj,Mænd: Sko,Kvinder: Accessories,Kvinder: Tøj,Kvinder: Sko,Mænd: Accessories,
Mountain Dew,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"Uludag, Harboe, Salling Øko, Ego",Læskedrikke,,,,,,,Kvinder: Sko,Mænd: Accessories,,,,,,,
Pepsi,PepsiCo owns SodaStream and 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.,PepsiCo.,"Harboe, Jolly Cola, Bruun Kola",Læskedrikke,,,,,,,,,,,,,,,
Rockstar Energy,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"Faxe Kondi, State Energy, Nocco",Læskedrikke,,,,,,,Kvinder: Sko,Mænd: Accessories,,,,,,,
Lipton,"Ejes af PepsiCo. PepsiCo købte SodaStream for 3,2 mia. dollars og ejer 50% af Sabra, begge virksomheder udnyttede den israelske besættelse af Palæstina.",PepsiCo.,"Fredsted, Pickwick, Chaplon",Te,,,,,,,Kvinder: Sko,Mænd: Accessories,Påklædning: Tasker,Påklædning: Briller & solbriller,,,,,
Always,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,"Libresse, Tena",Bind/trusseindlæg,,,,,,,,,,,,,,,
Tampax,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,"Libresse,",Bind/trusseindlæg,,,,,,,,,,,,,,,
Pampers,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,Libero,Børn & Forældre,,,,,,,,,,,,,,,
Clear Blue,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Helse & Velvære,,,,,,,,,,,,,,,
Vicks,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,"Ricola, Läkerol, True Drops",Helse & Velvære,,,,,,,,,,,,,,,
Febreze,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Hjem & Bolig,,,,,,,,,,,,,,,
Venus,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,"Bic, Mühle Shaving, Estrid",Hårfjerning,,,,,,,,,,,,,,,
Aussie,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,Herbal Care,Hårpleje,,,,,,,,,,,,,,,
Head and Shoulders,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,Australian Bodycare,Hårpleje,,,,,,,,,,,,,,,
Herbal Essences,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,Herbal care,Hårpleje,,,,,,,,,,,,,,,
Pantene,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Hårpleje,,,,,,,,,,,,,,,
Olay,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Kropspleje,Ansigtspleje,,,,,,,,,,,,,,
Crest,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,"Jordan, Urtekram, The Humble Co.",Mund- & tandhygiejne,,,,,,,,,,,,,,,
Oral B,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,"Wilfa, Jordan, Urtekram, The Humble Co.",Mund- & tandhygiejne,,,,,,,,,,,,,,,
Gillette,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,"Bic, Njord, Mühle Shaving",Mænd: Barbering,,,,,,,,,,,,,,,
Old Spice,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Mænd: Hudpleje,Mænd: Deodoranter,,,,,,,,,,,,,,
Braun,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Personlig pleje: Elektronik,,,,,,,,,,,,,,,
Ambi Pur,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Rengøring,,,,,,,,,,,,,,,
Fairy,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Rengøring,,,,,,,,,,,,,,,
Mr Clean,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Rengøring,,,,,,,,,,,,,,,
Swiffer,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Rengøring,,,,,,,,,,,,,,,
Bounty Paper Towels,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Toiletpapir & køkkenrulle,,,,,,,,,,,,,,,
Charmin,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Toiletpapir & køkkenrulle,,,,,,,,,,,,,,,
Ariel,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,"A+, Dr. Beckmann",Tøjpleje & -vask,,,,,,,,,,,,,,,
Lenor,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Tøjpleje & -vask,,,,,,,,,,,,,,,
Tide,Ejes af Procter & Gamble der har åbnet et forsknings- og udviklingscenter i Tel Aviv med en årlig investering på 2 mia. dollars.,Procter & Gamble,,Tøjpleje & -vask,,,,,,,,,,,,,,,
Clearasil,Ejes af Reckitt Benckiser. Reckitt Benckiser har indgået en samarbejdsaftale med Israel Innovation Authority.,Reckitt Benckiser,"Australian Bodycare, Pudderdåserne, Avéne",Ansigtspleje,,,,,,,,,,,,,,,
Scholl,Ejes af Reckitt Benckiser. Reckitt Benckiser har indgået en samarbejdsaftale med Israel Innovation Authority.,Reckitt Benckiser,,Helse & Velvære,,,,,,,,,,,,,,,
Airwick,Ejes af Reckitt Benckiser. Reckitt Benckiser har indgået en samarbejdsaftale med Israel Innovation Authority.,Reckitt Benckiser,Urd,Hjem & Bolig,,,,,,,,,,,,,,,
Cillit Bang,Ejes af Reckitt Benckiser. Reckitt Benckiser har indgået en samarbejdsaftale med Israel Innovation Authority.,Reckitt Benckiser,"Klar, Ecoclean",Rengøring,,,,,,,,,,,,,,,
Harpic,Ejes af Reckitt Benckiser. Reckitt Benckiser har indgået en samarbejdsaftale med Israel Innovation Authority.,Reckitt Benckiser,"Klar, Ecoclean",Rengøring,,,,,,,,,,,,,,,
Vanish,Ejes af Reckitt Benckiser. Reckitt Benckiser har indgået en samarbejdsaftale med Israel Innovation Authority.,Reckitt Benckiser,Dr. Beckmann,Rengøring,,,,,,,Make-up,Parfume: Mænd,Parfume: Kvinder,,,,,,
Espresso House,Ejes af familien Reimann - som også ejer Coty - er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation.,Reimann,,Spis ude: Kaffe,,,,,,,,,,,,,,,
Bally,"Ejes af familien Reimann, er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation. Derudover delte Kylie Jenner et opslag, hvor hun udtrykte støtte til Israel, hvorefter hun slettede det efter modstand fra følgere.",Riemann,,Kvinder: Tøj,Kvinder: Sko,Kvinder: Accessories,Mænd: Tøj,Mænd: Sko,Mænd: Accessories,,,,,,,,,,
Krispy Kreme,Ejes af familien Reimann - som også ejer Coty - er indædte zionister og støtter den israelske stat gennem investeringer og donationer via deres Alfred Landecker Foundation.,Riemann,,Søde sager,,,,,,,,,,,,,,,
Cocoon,"Ejes af Tempur-Sealy som udvikler, producerer og markedsfører madrasser, sengebunde, puder m.m. Gennem sin israelske distributør driver virksomheden en filial i Design City Complex i bosættelsen Mishor Adumim IZ på den besatte Vestbred.","Tempur Sealy International, Inc.",,Hjem & Bolig,,,,,,,,,,,,,,,
Tempur,"Ejes af Tempur-Sealy som udvikler, producerer og markedsfører madrasser, sengebunde, puder m.m. Gennem sin israelske distributør driver virksomheden en filial i Design City Complex i bosættelsen Mishor Adumim IZ på den besatte Vestbred.","Tempur Sealy International, Inc.",,Hjem & Bolig,,,,,,,,,,,,,,,
Tempur-Pedic,"Ejes af Tempur-Sealy som udvikler, producerer og markedsfører madrasser, sengebunde, puder m.m. Gennem sin israelske distributør driver virksomheden en filial i Design City Complex i bosættelsen Mishor Adumim IZ på den besatte Vestbred.","Tempur Sealy International, Inc.",,Hjem & Bolig,,,,,,,,,,,,,,,
Tempur-Sealy,"Ejes af Tempur-Sealy som udvikler, producerer og markedsfører madrasser, sengebunde, puder m.m. Gennem sin israelske distributør driver virksomheden en filial i Design City Complex i bosættelsen Mishor Adumim IZ på den besatte Vestbred.","Tempur Sealy International, Inc.",,Hjem & Bolig,,,,,,,,,,,,,,,
AbZ-Pharma,"Ejes af Teva Pharmaceutical, et amerikansk-israelsk medicinalvirksomhed, som er en af verdens størreste.",Teva Pharmaceuticals,,Medicin & pleje,,,,,,,,,,,,,,,
Sudocrem,"Ejes af Teva Pharmaceutical, et amerikansk-israelsk medicinalvirksomhed, som er en af verdens størreste.",Teva Pharmaceuticals,"Lille Kanin, Derma, Matas Medicare, Libero",Medicin & pleje,Kropspleje,,,,,,,,,,,,,,
Teva Pharmaceuticals,"Ejes af Teva Pharmaceutical, et amerikansk-israelsk medicinalvirksomhed, som er en af verdens størreste.",Teva Pharmaceuticals,,Medicin & pleje,,,,,,,,,,,,,,,
Housetrip,"Ejes af Tripadvisor som gennem sine bookingshjemmesider promoverer overnatningssteder, feriesteder, spisesteder på den besatte Vestbred, besatte Østjerusalem og de besatte syriske Golanhøjder.",Tripadvisor,,Rejser,,,,,,,,,,,,,,,
Tripadvisor,"Ejes af Tripadvisor som gennem sine bookingshjemmesider promoverer overnatningssteder, feriesteder, spisesteder på den besatte Vestbred, besatte Østjerusalem og de besatte syriske Golanhøjder.",Tripadvisor,,Rejser,,,,,,,,,,,,,,,
Vacationhomerentals,"Ejes af Tripadvisor som gennem sine bookingshjemmesider promoverer overnatningssteder, feriesteder, spisesteder på den besatte Vestbred, besatte Østjerusalem og de besatte syriske Golanhøjder.",Tripadvisor,,Rejser,,,,,,,,,,,,,,,
Viator,"Ejes af Tripadvisor som gennem sine bookingshjemmesider promoverer overnatningssteder, feriesteder, spisesteder på den besatte Vestbred, besatte Østjerusalem og de besatte syriske Golanhøjder.",Tripadvisor,,Rejser,,,,,,,,,,,,,,,
Ren Skincare,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Ecooking, Karmameju",Ansigtspleje,,,,,,,,,,,,,,,
Vaseline,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Ecooking, Matas Medicare, Weleda, Pudderdåserne",Ansigtspleje,Kropspleje,,,,,,,,,,,,,,
Hellmann's,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Urtekram, Svansø",Dagligvarer,,,,,,,,,,,,,,,
Knorr,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Arla Karolines Køkken, Svansø",Dagligvarer,,,,,,,,,,,,,,,
Unilever,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,,Dagligvarer,Personlig pleje,Rengøring,,,,,,,,,,,,,
Equilibra,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,,Deodoranter,Kropspleje,Hårpleje,Mund- & tandhygiejne,,,,,,,,,,,,
Lifebuoy,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,,Håndhygiejne,,,,,,,,,,,,,,,
Lux,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,,Håndhygiejne,,,,,,,,,,,,,,,
Sunsilk,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,,Hårpleje,,,,,,,,,,,,,,,
Tresemme,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,,Hårpleje,,,,,,,,,,,,,,,
Ben & Jerry's,"Ejes af Unilever. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Premier Is, Rønbjerg i, Naturli', Hansens Flødeis",Is,,,,,,,,,,,,,,,
Carte D'Or Ice Creams,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Premier Is, Rønbjerg i, Naturli', Hansens Flødeis",Is,,,,,,,,,,,,,,,
Cornetto Ice Creams,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Premier Is, Rønbjerg i, Naturli', Hansens Flødeis",Is,,,,,,,,,,,,,,,
Frisko,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Premier Is, Rønbjerg i, Naturli', Hansens Flødeis",Is,,,,,,,,,,,,,,,
Magnum Ice Creams,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Premier Is, Rønbjerg i, Naturli', Hansens Flødeis",Is,,,,,,,,,,,,,,,
Walls Ice Creams,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Premier Is, Rønbjerg i, Naturli', Hansens Flødeis",Is,,,,,,,,,,,,,,,
Dove,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Derma, Family Fresh",Kropspleje,Rengøring,Hårpleje,,,,,,,,,,,,,
Zendium,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Jordan, Urtekram, The Humble Co.",Mund- & tandhygiejne,,,,,,,,,,,,,,,
Rexona,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Relevant, Urtekram, Apoteks",Mænd: Deodoranter,Deodoranter,,,,,,,,,,,,,,
Axe,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Derma, Weleda, Relevant, Urtekram",Parfumer: Mænd,Mænd: Hudpleje,,,,,,,,,,,,,,
Lynx,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Derma, Weleda, Relevant, Urtekram",Parfumer: Mænd,Mænd: Hudpleje,,,,,,,,,,,,,,
Cif,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Skovsø, Klar",Rengøring,,,,,,,,,,,,,,,
Domestos,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Klar, Ecoclean",Rengøring,,,,,,,,,,,,,,,
Neutral,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Derma, Skovsø, Klar, Änglamark",Rengøring,Kropspleje,Ansigtspleje,Håndhygiejne,Tøjpleje og -vask,Hudpleje til børn,Deodoranter,,,,,,,,,
Comfort,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Lotus, Edet",Toiletpapir & køkkenrulle,,,,,,,,,,,,,,,
Biotex,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Klar, Ecoclean",Tøjpleje & -vask,,,,,,,,,,,,,,,
Persil,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,"Klar, Ecoclean",Tøjpleje & -vask,,,,,,,,,,,,,,,
OMO,"Ejes af Unilever, ligesom Ben & Jerry's. Da Ben & Jerry's besluttede at stoppe salget af deres produkter i Israel, solgte Unilever de israelske distributionsrettigheder til Avi Zinger for at omgå deres beslutning og tvinge Ben & Jerry's til fortsat at blive solgt i Israel.",Unilever,,,,,,,,,,,,,,,,,
Lipton Ices Tea,Lipton Iced Tea is owned by Unilever and Pepsico. Unilever forced Ben & Jerry's to sell its products in Israel. Pepsico is an owner of Sabra foods and Sodastream. Both are targets of the boycott.,Unilever / PepsiCo,,Læskedrikke,,,,,,,,,,,,,,,
Pizza Hut,Ejes af Yum Brands Inc. som investerer i israelske start-ups.,Yum Brands Inc.,,Spis ude: Fastfood,Spis ude: Pizza,,,,,,,,,,,,,,
Yum Foods,Yum investerer i israelske start-ups.,Yum Foods,,Dagligvarer,,,,,,,,,,,,,,,
KFC,"KFC is owned by Yum Brands, which is an investor in Israeli start ups.",Yum Foods,,Spis ude: Fastfood,,,,,,,,,,,,,,,
Bershka,"Ejes af Zara. Joey Schwebel, formanden for Zara-franchisen i Israel, afholdt en begivenhed for den anti-palæstinensiske MK Itamar Ben Gvir (en politiker kendt for sin modstand mod palæstinenserne) i forbindelse med valgkampen.",Zara,,Kvinder: Tøj,Kvinder: Sko,Kvinder: Accessories,Mænd: Tøj,Mænd: Sko,Mænd: Accessories,,,,,,,,,,
Zara Israel,"Joey Schwebel, formanden for Zara-franchisen i Israel, afholdt en begivenhed for den anti-palæstinensiske MK Itamar Ben Gvir (en politiker kendt for sin modstand mod palæstinenserne) i forbindelse med valgkampen.",Zara,Uniqlo,Kvinder: Tøj,Kvinder: Sko,Kvinder: Accessories,Mænd: Tøj,Mænd: Sko,Mænd: Accessories,Påklædning: Tasker,,,,,,,,,
Amika,Amika bliver bl.a. produceret i Israel.,,"Milk_shake, Maria Nila",Hårpleje,,,,,,,,,,,,,,,
Amazon,"Amazon og Google samarbejder om Project Nimbus. En kontrakt på 1,2 milliarder dollars der har til formål at levere cloud-tjenester til den israelske militær og regering. Denne teknologi muliggør yderligere overvågning og ulovlig indsamling af data om palæstinensere og faciliterer udvidelsen af Israels ulovlige bosættelser på palæstinensisk jord.",,Alibaba,Internethandel,Teknologi,,,,,,,,,,,,,,
Lavazza,"Lavazza sponsorerer fodboldholdet Arsenal, som de har presset til at få en af deres spiller, Mohamed Elneny, til at tie stille efter at han havde udtrykt støtte til Palæstina på sociale medier.",,,Kaffe,,,,,,,,,,,,,,,
Rare Beauty by Selena Gomez,"Den administrerende direktør, Scott Friedman, bliver kritiseret for at følge Israel Defense Forces (IDF) på Instagram. Han bliver betegnet som ""zionist"". ",,Miild,Make-up,Kropspleje,Ansigtspleje,,,,,,,,,,,,,
Sephora,"The owner of Sephora, Bernard Arnault invests hundreds of millions in Israeli companies",,,Make-up,Ansigtpleje,Kropspleje,Hårpleje,,,,,,,,,,,,
https://hbdeadsea.dk/,"Hbdeadsea.dk sælger israelske produkter, der bruger ressourcer fra Det Døde Hav.",,"Badeanstalten, Nilens Jord, Nuxe",Mænd: Hudpleje,Kropspleje,Ansigtspleje,Fodpleje,Hårpleje,,,,,,,,,,,
